Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Passira,PE,57.01,327.21,29744.00,9867.54,69.86,62.62,38.55,78.63,46.33,87.41,67.07,81.36,62.46,52.23,54.43,32.31,51.80,53.76,16.32,87.63,697.72,140.98,14.05,2.86,40.60,1.93,59.97,31.38,63.03,89.51,80.50,98.60,20.48,1.31,15.44,14.11,0.10,0.44,16.98,5.46,4.86,2.48,80.05,6.39,33.52,96.43,81.91,70.78,247.45,430.66,26.84,4.70,2.41,1.01,57.74,4.32,52.15,8.00,0.00,367.72,1736.31,65.58,103.98,4.00,14.50,0.35,0.29,0.00,0.55,0.90,1142.86,186.56,75.24,12.77,15.21,500.54
Jupi,PE,56.96,104.83,16022.00,15425.66,59.08,66.38,45.42,75.94,29.21,92.70,38.46,80.25,80.02,49.83,55.41,15.95,52.89,81.53,31.30,99.64,1237.49,214.58,12.25,3.27,5.59,55.38,15.10,31.03,66.73,96.69,91.54,99.70,79.20,5.02,31.94,26.81,0.00,0.08,16.64,9.18,5.18,3.20,97.88,38.07,71.21,94.62,33.45,66.88,286.64,497.07,20.84,5.09,3.38,0.00,11.90,0.56,56.84,1.00,0.00,677.80,2392.63,66.72,98.52,2.00,14.67,0.90,0.30,0.00,0.36,0.70,,12.53,0.00,45.03,54.65,498.83
São Lourenço da Mata,PE,56.96,263.69,118258.00,15145.35,62.45,67.41,41.01,66.46,61.58,82.70,39.05,76.73,76.03,52.83,64.06,34.51,53.55,53.74,22.22,60.77,963.35,186.66,15.61,4.19,68.15,43.89,81.02,64.32,71.99,70.97,77.38,97.68,115.82,3.95,50.09,7.55,0.98,0.76,22.08,5.46,4.13,5.50,99.36,28.10,55.13,96.90,80.65,72.57,263.78,483.73,24.89,4.47,0.99,0.17,6.36,4.80,51.64,4.00,5.00,519.15,1254.41,54.80,90.71,4.00,13.35,1.47,0.28,11.83,0.40,0.87,58.25,469.38,52.02,21.96,28.78,514.81
Amaraji,PE,56.90,233.24,18335.00,16787.13,69.15,61.93,39.63,74.47,67.67,83.11,51.37,77.47,68.46,45.77,56.00,18.04,47.10,71.53,21.87,84.34,1145.54,199.94,9.94,3.21,65.82,70.59,73.24,39.58,70.12,79.19,78.61,93.02,73.36,4.08,40.50,14.61,0.54,0.00,23.58,6.56,3.70,0.26,87.61,20.83,43.90,94.30,70.48,69.89,302.42,480.19,24.69,14.82,2.66,0.55,20.04,0.98,54.90,2.00,0.00,618.07,2191.55,71.76,103.56,4.00,22.00,0.51,0.29,0.31,0.44,0.87,,30.82,66.36,23.37,27.17,510.39
Sertânia,PE,56.84,2409.51,34271.00,11790.35,68.38,62.84,39.29,72.11,49.06,87.65,64.73,79.32,63.49,54.42,54.14,27.20,48.27,56.20,25.47,86.42,1350.27,133.78,24.78,3.96,43.70,49.02,61.87,60.78,54.02,94.16,82.62,97.90,20.35,2.27,17.38,27.28,0.34,0.60,22.86,5.24,4.68,3.74,60.07,25.72,45.26,96.53,67.14,70.14,227.92,376.14,27.55,7.55,7.30,0.58,22.71,2.31,54.43,5.00,0.00,363.11,1491.61,60.62,122.52,5.00,17.57,0.22,0.29,2.92,0.15,0.93,39.22,218.27,45.07,27.69,38.28,515.77
Sanharó,PE,56.83,268.06,18812.00,14336.27,67.33,63.93,39.23,79.06,68.20,91.39,30.66,77.47,68.82,51.95,57.46,22.78,50.76,56.45,26.92,89.66,825.45,110.08,17.50,3.10,60.40,64.21,84.75,40.19,73.48,94.31,87.47,97.98,79.55,14.14,34.85,37.16,0.22,0.86,24.32,8.26,4.27,0.82,94.78,20.89,54.26,84.15,61.94,70.47,331.76,344.56,23.90,7.10,5.51,5.32,41.18,8.51,51.88,3.00,0.00,672.83,658.02,57.40,73.15,3.00,18.24,2.55,0.28,0.79,0.00,0.74,,273.37,144.27,31.67,46.46,502.27
São Caitano,PE,56.79,382.48,39243.00,14677.32,65.05,63.81,41.51,74.90,68.79,88.45,28.04,76.59,69.10,51.41,58.15,24.86,50.96,66.20,24.00,92.93,906.14,186.35,16.27,3.45,60.54,50.06,80.18,20.46,69.31,92.56,77.65,98.77,131.52,4.03,53.64,20.10,0.52,0.84,22.40,7.40,4.36,5.64,93.97,0.68,54.42,96.14,51.46,70.38,299.09,474.21,23.17,5.68,4.12,2.29,24.33,2.02,48.17,5.00,0.00,765.99,1564.72,63.69,102.27,3.00,16.16,1.32,0.30,7.69,0.00,0.54,,40.23,7.92,25.68,35.96,508.69
Goiana,PE,56.72,445.40,85497.00,162504.22,58.40,69.23,42.53,75.49,50.24,81.93,25.95,77.95,82.78,50.87,65.32,25.47,51.69,48.20,44.77,88.89,1040.13,168.41,16.42,3.14,47.76,15.57,65.66,42.51,71.55,68.80,78.43,96.66,130.90,7.78,51.19,17.05,1.20,0.08,19.56,4.52,3.86,3.06,99.74,57.80,66.20,93.54,73.98,71.75,269.66,455.22,30.70,4.03,2.09,1.52,7.90,6.58,47.97,0.00,0.00,75.80,219.28,41.00,105.40,6.00,17.31,1.24,0.29,3.00,0.35,0.64,48.19,741.95,179.71,78.11,74.32,524.92
Jataúba,PE,56.70,714.60,16328.00,11782.46,58.48,60.09,51.52,72.03,34.16,85.32,42.41,76.98,56.34,52.98,54.07,39.20,54.94,78.84,33.10,74.34,1278.69,152.12,19.76,3.08,11.81,56.00,19.57,24.29,30.66,94.74,85.68,97.69,85.17,0.00,37.88,31.78,1.24,0.08,20.44,6.66,4.06,3.34,55.40,7.55,36.99,94.12,29.46,67.74,292.42,424.37,18.54,8.56,5.12,4.90,26.87,2.20,54.73,5.00,6.00,384.08,1411.67,49.46,77.12,1.00,17.27,1.83,0.28,0.52,0.36,0.75,,33.98,0.00,40.41,58.12,526.02
Iati,PE,56.69,635.14,17570.00,13432.73,67.79,57.17,45.09,75.40,56.65,88.92,50.20,73.47,52.78,51.31,51.14,27.94,53.00,69.68,29.75,96.38,620.25,160.36,17.51,4.26,44.33,44.16,73.24,38.16,50.42,97.04,86.79,98.04,50.69,4.51,37.05,22.46,0.94,0.12,27.70,11.82,4.18,3.74,52.86,3.41,58.23,75.74,79.50,71.09,274.94,444.20,23.50,7.85,7.12,5.69,27.76,0.39,56.03,5.00,0.00,530.72,538.50,61.71,108.76,6.00,18.53,0.00,0.32,0.30,0.00,0.94,,33.65,18.83,36.35,51.73,511.38
Manari,PE,56.69,386.57,27046.00,6771.94,65.71,60.05,44.30,76.67,31.69,88.31,66.17,75.49,47.56,60.55,56.58,36.85,51.72,68.34,20.29,88.67,636.18,135.36,16.74,3.67,26.15,4.00,37.66,47.51,28.87,96.00,97.43,98.29,24.27,3.15,19.56,9.24,0.48,0.12,22.04,9.70,3.67,1.92,45.75,0.32,17.67,91.26,63.59,65.89,128.50,322.17,21.00,2.35,2.20,0.37,18.21,0.92,55.08,4.00,6.00,558.03,862.66,56.69,89.61,4.00,19.82,0.30,0.30,0.00,0.36,0.94,,83.45,62.31,25.55,36.43,461.32
Itaquitinga,PE,56.65,162.74,17142.00,13023.51,63.56,61.18,45.21,72.91,53.43,91.27,36.64,74.68,66.90,42.53,60.61,45.22,50.01,55.10,30.51,85.93,931.92,202.65,18.27,2.92,65.14,24.77,61.38,56.08,78.65,90.31,90.02,97.09,96.26,5.05,49.11,2.34,2.26,1.86,25.32,4.08,3.55,2.34,82.93,15.84,42.14,96.88,74.59,67.87,324.52,500.33,29.05,3.51,1.67,1.17,8.02,0.11,49.63,5.00,10.00,570.00,1738.40,60.13,94.91,2.00,20.24,0.21,0.28,0.00,0.36,0.92,363.64,217.17,36.99,38.03,54.45,509.42
Alagoinha,PE,56.61,208.15,14460.00,13814.04,65.66,63.56,40.62,77.34,47.34,89.67,48.28,74.22,67.50,56.20,56.31,34.02,49.57,49.33,29.57,95.01,1154.06,132.74,21.52,3.03,23.83,49.31,51.84,22.27,64.34,95.52,82.30,98.90,42.46,11.24,30.62,13.92,0.52,0.12,31.18,6.30,4.18,9.98,90.11,9.61,42.25,96.70,74.34,73.04,288.50,386.35,25.10,1.39,4.22,3.46,25.55,0.65,49.45,3.00,6.00,556.85,1037.78,57.14,60.49,3.00,17.57,4.60,0.30,0.00,0.44,0.18,30.08,193.65,301.89,41.85,61.01,470.47
Condado,PE,56.54,89.64,25416.00,11606.35,62.67,65.51,41.45,76.57,39.03,92.66,42.42,77.14,78.66,42.39,63.84,30.38,47.13,66.76,21.52,90.00,753.54,178.51,12.75,3.21,40.01,0.63,52.03,53.10,92.07,90.12,85.93,98.64,77.71,1.52,34.65,14.18,0.18,0.06,26.78,6.24,3.99,3.28,99.70,43.22,53.34,97.11,81.25,67.79,327.70,475.96,29.84,2.36,1.19,0.39,13.33,2.31,45.82,7.00,0.00,632.15,945.73,61.98,99.20,3.00,16.16,0.26,0.31,6.47,0.55,0.61,,134.96,27.93,21.14,31.98,500.44
Orocó,PE,56.48,554.76,14129.00,13610.94,69.84,59.69,39.92,76.99,63.06,74.03,65.29,77.30,57.49,54.82,49.14,20.92,50.03,52.71,36.00,87.72,319.58,127.69,21.01,3.19,83.73,79.27,42.55,52.82,47.12,56.81,78.63,92.48,38.71,0.00,35.62,19.93,1.64,0.56,16.84,5.02,3.90,3.76,44.92,37.30,56.26,77.90,85.98,70.96,274.08,354.33,21.95,4.28,4.86,8.49,18.89,0.71,65.19,2.00,0.00,512.03,727.54,65.35,96.90,2.00,19.91,1.51,0.30,1.49,0.00,0.57,6.51,203.82,104.12,51.46,80.38,475.86
Água Preta,PE,56.48,531.93,26981.00,9771.39,64.88,60.92,43.63,64.06,66.70,89.86,38.90,73.11,61.93,51.29,57.33,32.99,48.79,72.83,19.90,67.23,994.37,215.00,21.27,4.34,70.33,65.98,80.36,58.54,69.98,89.73,92.85,95.10,93.88,5.45,38.76,9.89,1.64,0.12,31.70,9.52,4.08,3.42,77.35,2.42,38.42,96.12,63.68,70.64,263.85,540.25,25.02,0.68,4.19,1.11,14.57,0.94,51.28,3.00,4.00,424.88,868.99,42.88,118.48,3.00,19.05,8.23,0.29,0.71,0.36,0.65,,15.09,25.13,20.53,29.27,488.56
Ouricuri,PE,56.42,2381.57,68489.00,14844.78,69.49,61.62,38.15,74.13,72.12,86.25,45.47,74.87,64.26,57.82,49.53,26.02,48.82,52.26,25.49,86.46,647.06,142.59,20.07,3.93,61.52,73.00,77.23,18.66,46.14,95.12,83.31,95.90,52.12,5.83,29.09,53.19,1.54,2.80,20.14,7.92,4.03,2.50,62.49,29.46,44.03,95.72,70.38,71.40,226.64,375.74,19.68,10.87,4.91,15.33,40.95,1.61,58.28,6.00,0.00,1054.99,1823.88,62.89,108.31,4.00,18.40,9.62,0.30,1.46,0.40,0.92,43.96,540.91,227.00,28.95,39.88,508.40
Poção,PE,56.39,205.12,10792.00,12306.06,66.74,57.94,44.47,78.60,44.93,90.24,53.20,80.51,60.78,40.73,49.76,26.36,59.67,65.28,26.58,98.41,981.73,152.91,16.31,3.12,7.89,45.31,59.01,15.38,63.33,96.73,86.80,97.21,44.89,7.03,20.12,7.33,0.08,0.06,21.12,5.48,4.72,2.54,71.72,20.52,46.34,82.68,66.00,65.59,296.58,462.83,28.91,12.89,5.42,4.63,28.39,1.76,62.39,4.00,0.00,389.46,1206.42,46.88,114.58,2.00,17.14,2.18,0.29,0.00,0.44,0.85,,174.67,84.75,30.27,46.16,502.78
São Vicente Férrer,PE,56.33,112.47,17177.00,22367.82,62.25,62.37,44.36,78.40,45.08,85.82,39.69,76.06,71.34,44.63,57.46,31.36,55.68,61.49,28.90,95.98,808.31,188.78,13.65,2.52,40.48,45.35,49.81,54.48,45.39,85.36,89.18,98.21,113.39,0.00,59.18,10.44,0.46,0.06,25.20,7.94,4.08,4.40,96.99,8.94,55.12,95.52,75.49,67.90,277.80,502.59,26.76,8.12,3.11,0.00,35.77,4.29,51.17,6.00,0.00,398.37,390.04,57.20,94.65,3.00,17.33,0.35,0.30,1.13,0.36,0.70,,449.15,39.66,35.51,52.72,500.70
Águas Belas,PE,56.16,885.99,43822.00,11173.31,68.21,57.37,42.91,74.87,46.30,86.23,65.43,71.49,60.42,48.62,48.96,43.15,49.17,58.45,20.88,88.01,730.18,162.98,16.04,3.74,32.72,40.47,48.00,29.71,53.30,88.49,86.27,96.12,18.04,4.51,22.97,12.87,1.80,3.24,30.30,11.06,4.41,3.56,61.35,15.68,40.88,94.82,70.49,66.44,261.03,450.07,20.78,5.96,4.89,0.68,23.62,3.22,68.56,6.00,8.00,726.18,1168.44,70.77,128.32,4.00,18.58,1.32,0.31,2.14,0.15,0.74,2.53,165.77,84.81,22.82,29.89,492.73
Tacaratu,PE,56.13,1264.53,24898.00,10530.89,68.41,59.86,40.11,75.34,48.34,82.72,67.24,70.99,64.66,53.36,50.44,29.91,52.77,52.51,25.25,90.44,645.46,136.01,20.09,3.94,45.87,15.30,69.43,53.91,39.99,84.90,82.29,96.38,16.28,1.65,14.66,10.58,0.38,7.50,34.02,11.52,4.87,3.72,60.86,37.48,42.30,94.76,88.87,67.63,207.95,339.50,21.47,9.77,6.85,0.80,20.09,2.92,64.15,2.00,6.00,762.61,1059.49,75.88,70.04,6.00,18.13,0.15,0.29,2.47,0.00,0.81,15.65,244.26,112.99,28.37,41.29,503.55
Saloá,PE,56.00,251.55,14125.00,17830.37,68.76,58.18,41.06,76.91,49.72,92.09,56.31,75.20,58.25,48.15,51.13,18.95,48.18,71.01,26.11,97.49,999.86,146.47,17.91,3.74,43.06,44.79,39.31,20.64,59.07,94.00,96.44,99.68,24.81,13.28,31.91,26.42,1.12,1.02,27.68,10.06,4.77,3.36,79.96,1.20,36.96,85.34,70.65,69.61,311.56,472.89,23.29,5.49,4.97,2.83,33.56,0.69,57.13,2.00,0.00,751.36,1609.55,55.29,69.86,3.00,14.17,2.77,0.32,0.89,0.44,0.85,,34.44,64.17,33.08,43.57,495.26
Brejo da Madre de Deus,PE,55.94,761.82,51308.00,10330.46,66.61,61.15,40.07,74.96,52.03,89.62,49.81,72.94,63.36,52.29,56.01,30.52,47.07,56.43,26.26,90.35,644.81,151.14,17.20,4.14,28.50,62.03,56.38,23.27,70.04,93.06,82.06,98.61,67.74,5.48,35.63,11.88,0.66,4.06,20.96,7.22,3.98,9.90,85.71,8.98,33.27,93.69,77.79,69.06,257.15,410.01,21.46,5.94,1.89,0.39,29.14,4.62,58.95,8.00,0.00,745.29,2475.40,55.44,83.51,6.00,17.70,1.19,0.30,1.65,0.15,0.98,117.65,115.89,52.93,28.33,39.86,519.90
Palmares,PE,55.92,339.39,56475.00,20470.15,62.38,63.93,41.44,69.04,70.54,88.68,21.27,78.60,71.41,45.81,59.92,32.13,51.62,49.11,32.89,66.11,1058.27,213.70,9.70,3.62,77.92,72.17,84.15,62.50,62.05,90.86,87.99,96.87,138.76,7.44,63.82,21.24,0.40,0.46,22.74,6.50,4.42,2.18,90.64,19.12,54.10,95.44,63.39,69.62,305.67,531.44,27.94,4.86,2.10,0.00,17.47,6.28,56.16,0.00,6.00,305.12,666.25,39.73,103.64,10.00,17.11,1.63,0.28,13.61,0.13,0.58,93.75,406.93,23.96,43.28,53.33,527.17
Chã de Alegria,PE,55.90,49.33,13496.00,14098.47,64.63,64.52,38.56,72.08,65.09,88.37,32.99,79.32,67.82,49.10,61.83,28.52,47.89,63.61,14.23,79.01,750.14,180.41,18.49,3.29,64.94,39.94,69.11,21.96,64.10,88.20,86.43,98.12,117.77,8.76,53.81,5.99,0.84,0.02,13.94,6.24,4.04,1.56,99.22,2.75,44.07,93.68,98.40,70.69,331.27,448.20,20.67,0.00,1.27,1.48,6.07,0.10,48.68,6.00,0.00,525.04,1159.25,61.77,105.90,2.00,18.18,2.71,0.30,0.49,0.22,0.57,,46.69,115.32,13.32,17.36,467.37
São José da Coroa Grande,PE,55.86,69.18,19511.00,19961.61,57.85,65.92,43.82,72.66,57.38,82.71,18.63,77.69,83.02,40.94,62.04,30.89,51.14,68.27,24.98,90.94,646.15,215.00,15.98,3.73,63.73,2.67,90.75,61.08,83.90,65.51,77.66,97.14,250.43,11.91,95.78,15.45,0.36,1.24,23.28,6.00,3.99,1.40,94.66,65.27,63.23,95.58,63.26,69.15,385.83,528.06,27.67,5.14,1.44,0.51,10.78,3.98,51.99,3.00,4.00,409.74,1507.05,60.50,132.41,2.00,21.28,0.46,0.30,4.08,0.18,0.80,333.33,15.86,0.00,30.46,38.85,500.16
Ilha de Itamaracá,PE,55.60,66.15,25658.00,11625.81,55.71,69.41,41.70,68.83,60.81,77.20,16.00,79.42,78.95,55.89,63.37,36.45,52.96,59.72,17.65,56.91,666.16,156.78,15.54,3.70,64.80,4.75,95.67,54.98,56.50,57.78,75.97,98.50,191.30,19.44,80.57,6.35,0.62,0.08,15.94,7.24,4.36,1.42,99.99,37.60,61.74,95.83,84.60,73.55,262.48,412.01,25.14,3.97,0.57,0.00,9.38,4.09,52.80,5.00,6.00,901.22,943.06,72.63,95.31,6.00,17.82,1.17,0.29,3.48,0.36,0.72,,248.53,194.99,14.42,22.34,494.86
Escada,PE,55.42,342.16,62174.00,25449.59,61.65,66.44,38.18,71.71,66.62,85.67,22.60,79.47,75.00,47.42,63.87,15.86,51.65,63.74,21.49,70.75,945.34,189.44,10.01,3.52,77.21,47.43,81.66,58.38,72.36,77.84,82.98,97.30,198.16,6.76,66.56,12.38,0.72,0.18,16.64,4.74,3.87,1.06,93.47,32.36,56.24,95.31,81.85,71.83,334.16,490.67,24.81,5.73,3.01,1.13,5.91,8.12,52.10,1.00,0.00,934.48,2486.93,51.98,68.72,7.00,17.73,2.24,0.28,3.67,0.31,0.77,34.48,47.67,15.51,23.13,28.30,503.50
Calumbi,PE,55.16,179.31,5354.00,11626.63,67.19,58.25,40.04,69.12,47.05,88.67,63.92,79.58,59.38,41.07,52.98,22.34,48.04,64.82,24.96,89.53,1256.60,210.67,24.66,3.68,35.82,48.10,51.29,41.57,32.36,96.97,96.37,97.99,0.00,14.47,40.72,18.46,0.06,0.74,18.26,8.12,4.68,1.38,58.10,0.28,53.52,95.04,86.15,67.90,315.54,515.30,25.08,11.10,3.79,9.34,16.79,0.00,58.01,3.00,0.00,777.04,1132.23,49.98,94.95,4.00,19.13,1.81,0.32,0.00,0.44,0.82,,136.89,130.72,28.41,40.53,501.72
Exu,PE,55.14,1336.79,33486.00,13149.23,68.58,59.98,36.87,79.39,44.24,85.19,65.51,76.61,57.34,61.20,44.75,27.44,47.46,53.21,19.37,95.93,522.58,107.72,17.41,3.85,36.55,4.74,59.19,35.77,45.47,92.08,83.57,95.26,14.65,2.37,13.77,26.34,0.86,4.16,20.50,7.10,4.67,3.00,57.07,2.02,40.62,96.58,68.75,71.47,225.84,321.02,18.74,6.58,15.74,31.06,42.00,0.42,57.54,6.00,0.00,764.29,1001.15,73.75,136.18,3.00,18.65,2.02,0.31,0.32,0.46,0.70,90.91,236.21,156.25,26.95,13.36,502.96
Araçoiaba,PE,55.14,96.36,19996.00,10157.68,57.65,65.32,42.46,69.16,33.40,84.67,43.35,80.29,70.43,48.84,61.72,31.60,52.47,63.11,22.66,83.87,655.83,218.01,25.53,3.14,43.18,1.59,28.82,52.40,82.95,77.53,76.05,95.34,82.67,1.99,30.36,8.06,0.28,0.00,20.00,4.00,4.16,1.74,99.52,1.00,52.22,97.04,70.56,70.87,269.35,524.08,28.02,5.02,0.93,2.00,9.62,0.42,49.34,1.00,7.00,538.04,1476.10,64.30,114.76,2.00,16.96,0.53,0.30,1.73,0.18,0.92,,128.13,113.29,26.35,40.35,479.06
Dormentes,PE,54.99,1539.05,17850.00,17470.81,64.34,59.45,41.18,72.41,36.84,85.02,63.10,83.89,53.30,55.18,45.44,22.22,50.38,59.30,32.83,90.06,931.21,120.34,22.02,5.22,31.51,20.71,42.41,50.66,36.33,97.55,80.64,96.02,39.15,4.54,24.81,31.57,0.12,0.02,13.94,5.48,5.63,2.28,51.66,15.65,45.30,79.08,51.72,69.46,226.65,375.64,21.34,15.79,16.33,87.96,44.97,2.56,51.60,4.00,0.00,784.48,2571.73,53.61,73.29,2.00,16.48,2.03,0.28,0.42,0.36,0.66,,329.07,146.70,38.56,54.92,535.86
